Class,Filename,Width,Height,Size_in_KB
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-12.jpg,240,180,4.288
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-120.jpg,270,180,4.958
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-121.jpg,240,180,7.993
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-122.jpg,320,180,6.765
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-123.jpg,240,180,7.972
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-124.jpg,270,180,8.658
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-125.jpg,270,180,9.666
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-126.jpg,240,180,6.718
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-127.jpg,270,180,10.709
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-128.jpg,252,180,6.834
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-129.jpg,320,180,6.098
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-13.jpg,240,180,7.597
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-130.jpg,246,180,8.344
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-131.jpg,312,180,11.133
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-132.jpg,270,180,7.411
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-133.jpg,288,180,7.624
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-134.jpg,270,180,6.998
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-135.jpg,269,180,10.475
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-136.jpg,240,180,6.205
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-137.jpg,288,180,8.351
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-138.jpg,240,180,5.439
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-139.jpg,260,180,7.396
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-14.jpg,320,180,7.845
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-140.jpg,306,180,9.386
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-141.jpg,270,180,7.361
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-142.jpg,240,180,8.119
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-143.jpg,288,180,6.009
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-144.jpg,277,180,12.577
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-145.jpg,260,180,10.362
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-146.jpg,155,180,7.211
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-147.jpg,240,180,7.597
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-148.jpg,270,180,9.037
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-149.jpg,270,180,4.779
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-150.jpg,261,180,9.307
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-151.jpg,240,180,4.735
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-152.jpg,240,180,7.875
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-153.jpg,270,180,8.101
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-154.jpg,269,180,7.392
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-155.jpg,270,180,10.317
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-156.jpg,270,180,10.948
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-157.jpg,240,180,7.875
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-158.jpg,264,180,9.427
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-159.jpg,262,180,9.497
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-16.jpg,270,180,10.655
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-160.jpg,320,180,7.409
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-161.jpg,277,180,5.763
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-162.jpg,288,180,8.062
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-163.jpg,334,180,9.197
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-164.jpg,270,180,6.343
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-165.jpg,256,180,6.494
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-166.jpg,269,180,7.392
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-167.jpg,270,180,11.248
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-168.jpg,180,180,7.246
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-169.jpg,301,180,6.295
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-17.jpg,320,180,5.22
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-170.jpg,270,180,8.518
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-171.jpg,320,180,9.873
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-172.jpg,270,180,9.032
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-173.jpg,219,180,4.867
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-174.jpg,319,180,12.317
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-175.jpg,333,180,11.859
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-176.jpg,270,180,8.732
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-177.jpg,320,180,11.29
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-178.jpg,259,180,9.854
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-179.jpg,324,180,8.959
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-18.jpg,240,180,7.352
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-180.jpg,253,180,8.885
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-181.jpg,262,180,8.877
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-182.jpg,240,180,7.857
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-183.jpg,289,180,5.543
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-184.jpg,260,180,10.125
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-185.jpg,270,180,10.771
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-186.jpg,271,180,5.648
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-187.jpg,270,180,7.7
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-188.jpg,270,180,6.998
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-189.jpg,270,180,5.79
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-19.jpg,283,180,7.642
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-190.jpg,135,180,3.771
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-191.jpg,240,180,6.718
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-192.jpg,280,180,9.289
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-193.jpg,263,180,8.636
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-194.jpg,240,180,6.169
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-195.jpg,250,180,7.457
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-196.jpg,274,180,8.578
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-197.jpg,271,180,5.648
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-198.jpg,270,180,5.729
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-199.jpg,270,180,8.752
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-2.jpg,271,180,9.01
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-20.jpg,319,180,8.976
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-200.jpg,270,180,5.729
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-201.jpg,272,180,6.263
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-202.jpg,250,180,7.457
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-203.jpg,270,180,7.957
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-204.jpg,320,180,10.529
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-205.jpg,270,180,8.92
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-206.jpg,319,180,9.898
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-207.jpg,240,180,7.581
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-208.jpg,270,180,12.193
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-209.jpg,311,180,8.436
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-21.jpg,240,180,7.084
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-210.jpg,240,180,6.566
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-211.jpg,240,180,10.496
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-212.jpg,262,180,9.497
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-213.jpg,240,180,8.681
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-214.jpg,296,180,7.836
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-215.jpg,270,180,5.035
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-216.jpg,271,180,10.117
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-217.jpg,245,180,8.182
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-218.jpg,260,180,10.362
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-219.jpg,243,180,7.856
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-22.jpg,300,200,8.563
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-220.jpg,243,180,6.589
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-221.jpg,240,180,7.875
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-222.jpg,288,180,9.958
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-223.jpg,260,180,5.107
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-224.jpg,270,180,9.666
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-225.jpg,240,180,9.429
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-226.jpg,428,180,16.273
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-227.jpg,240,180,4.735
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-228.jpg,240,180,9.171
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-229.jpg,272,180,6.263
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-23.jpg,240,180,6.566
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-230.jpg,270,180,10.487
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-231.jpg,270,180,12.193
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-232.jpg,240,180,9.523
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-25.jpg,240,180,6.205
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-26.jpg,384,180,8.052
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-27.jpg,320,180,10.443
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-28.jpg,240,180,9.535
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-29.jpg,240,180,9.535
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-3.jpg,270,180,5.79
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-30.jpg,300,180,9.74
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-31.jpg,269,180,8.294
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-32.jpg,270,180,7.251
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-33.jpg,269,180,7.603
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-34.jpg,270,180,6.343
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-35.jpg,331,180,10.537
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-36.jpg,270,180,8.518
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-37.jpg,320,180,5.721
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-38.jpg,320,180,7.845
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-39.jpg,270,180,6.154
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-4.jpg,270,180,5.915
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-40.jpg,270,180,7.043
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-41.jpg,319,180,12.317
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-42.jpg,240,180,7.857
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-43.jpg,240,180,8.256
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-44.jpg,270,180,12.193
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-45.jpg,269,180,5.574
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-46.jpg,240,180,9.523
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-47.jpg,270,180,8.714
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-48.jpg,270,180,10.487
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-49.jpg,277,180,5.763
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-5.jpg,259,180,9.854
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-50.jpg,270,180,4.779
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-51.jpg,240,180,7.993
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-52.jpg,320,180,12.508
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-53.jpg,301,180,6.295
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-54.jpg,270,180,5.845
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-55.jpg,270,180,7.251
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-56.jpg,320,180,6.49
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-57.jpg,176,180,6.701
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-58.jpg,319,180,8.976
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-59.jpg,328,180,6.862
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-6.jpg,274,180,6.0
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-60.jpg,402,180,11.363
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-61.jpg,274,180,6.0
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-62.jpg,260,180,7.396
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-63.jpg,270,180,10.098
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-64.jpg,270,180,5.837
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-65.jpg,245,180,8.964
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-66.jpg,320,180,9.913
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-67.jpg,270,180,10.771
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-68.jpg,270,180,11.525
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-69.jpg,270,180,8.967
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-7.jpg,270,180,8.101
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-70.jpg,269,180,8.294
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-71.jpg,270,180,4.958
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-72.jpg,320,180,9.913
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-73.jpg,270,180,5.24
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-74.jpg,280,180,9.289
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-75.jpg,240,180,6.033
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-76.jpg,404,180,13.827
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-77.jpg,270,180,9.178
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-78.jpg,320,180,11.543
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-79.jpg,240,180,8.681
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-8.jpg,292,180,7.112
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-80.jpg,253,180,8.885
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-81.jpg,288,180,8.351
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-82.jpg,240,180,6.169
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-83.jpg,277,180,5.763
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-84.jpg,288,180,8.062
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-85.jpg,337,180,9.544
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-86.jpg,300,194,11.057
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-87.jpg,254,180,9.803
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-88.jpg,305,180,8.096
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-89.jpg,240,180,8.862
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-9.jpg,264,180,9.33
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-90.jpg,240,180,7.581
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-91.jpg,270,180,6.855
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-92.jpg,269,180,7.603
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-93.jpg,283,180,7.642
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-94.jpg,240,180,5.045
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-95.jpg,331,180,6.838
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-96.jpg,270,180,9.485
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-97.jpg,270,180,8.92
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-98.jpg,273,180,10.121
dataset\car\car-bus\car-bus_alltypes,car-bus_alltypes-99.jpg,271,180,10.856
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-1.jpg,300,180,5.864
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-10.jpg,295,180,9.458
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-100.jpg,270,180,5.33
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-101.jpg,300,180,5.421
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-102.jpg,270,180,6.293
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-103.jpg,271,180,6.299
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-104.jpg,240,180,4.968
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-105.jpg,270,180,8.526
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-106.jpg,288,180,5.616
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-107.jpg,360,180,12.28
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-108.jpg,270,180,7.204
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-109.jpg,270,180,8.494
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-11.jpg,341,180,9.756
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-110.jpg,284,180,4.201
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-111.jpg,300,180,7.26
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-112.jpg,276,180,6.716
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-113.jpg,270,180,8.577
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-114.jpg,320,180,6.076
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-115.jpg,341,180,11.972
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-116.jpg,270,180,9.009
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-117.jpg,270,180,4.774
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-118.jpg,270,180,6.858
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-119.jpg,346,180,8.636
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-12.jpg,320,180,6.475
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-120.jpg,319,180,7.232
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-121.jpg,270,180,4.665
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-122.jpg,270,180,5.625
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-123.jpg,289,180,8.746
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-124.jpg,320,180,6.456
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-125.jpg,240,180,4.561
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-126.jpg,270,180,5.302
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-127.jpg,270,180,6.487
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-128.jpg,300,180,8.141
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-129.jpg,270,180,4.985
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-13.jpg,344,180,9.402
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-130.jpg,341,180,9.718
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-131.jpg,270,180,5.416
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-132.jpg,319,180,7.128
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-133.jpg,270,180,6.273
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-134.jpg,320,180,6.117
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-135.jpg,266,180,6.235
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-136.jpg,320,180,5.65
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-137.jpg,341,180,9.756
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-138.jpg,270,180,5.063
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-139.jpg,270,180,7.496
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-14.jpg,270,180,6.907
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-140.jpg,320,180,7.453
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-141.jpg,300,200,8.679
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-142.jpg,270,180,3.556
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-143.jpg,288,180,7.749
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-144.jpg,320,180,7.674
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-145.jpg,270,180,6.905
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-146.jpg,270,180,6.003
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-147.jpg,320,180,8.63
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-148.jpg,320,180,7.038
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-149.jpg,270,180,6.114
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-15.jpg,266,180,5.836
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-150.jpg,320,180,5.892
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-151.jpg,270,180,7.571
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-152.jpg,270,180,3.913
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-153.jpg,288,180,6.825
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-154.jpg,273,180,7.649
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-155.jpg,320,180,9.009
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-156.jpg,270,180,6.935
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-157.jpg,270,180,5.625
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-158.jpg,393,180,6.458
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-159.jpg,297,180,8.103
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-16.jpg,270,180,8.254
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-160.jpg,270,180,3.757
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-161.jpg,291,180,6.426
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-162.jpg,333,180,7.728
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-163.jpg,289,180,9.517
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-164.jpg,474,171,8.822
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-165.jpg,337,180,8.307
dataset\car\car-sedan\car-sedan-alltypes,car-sedan-alltypes-166.jpg,253,180,5.029
